molecul e_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL2375901,COc1ccc(C(=O)Nc2nccs2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,294.34
CHEMBL2375976,COc1ccc(C(=O)Nc2ccc(OCCN3CCOCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,active,63.31
CHEMBL2375895,COc1ccc(C(=O)Nc2cccc(Cl)c2)cc1Nc1nccc(-c2cccnc2)n1,active,34.77
CHEMBL2375977,COc1ccc(C(=O)Nc2ccc(OCCCN3CCOCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,active,6.34
CHEMBL2375891,COc1ccc(C(=O)Nc2ccc(Br)cc2)cc1Nc1nccc(-c2cccnc2)n1,active,4.79
CHEMBL2375889,COc1ccc(C(=O)Nc2ccc(F)c(Cl)c2)cc1Nc1nccc(-c2cccnc2)n1,active,4.73
CHEMBL2375900,COc1ccc(C(=O)Nc2ncccn2)cc1Nc1nccc(-c2cccnc2)n1,active,3.78
CHEMBL2375892,COc1ccc(C(=O)Nc2cccc(F)c2)cc1Nc1nccc(-c2cccnc2)n1,active,3.21
CHEMBL2375972,COc1ccc(C(=O)Nc2ccc(OCCN(C)C)cc2)cc1Nc1nccc(-c2cccnc2)n1,active,2.34
CHEMBL2375973,CCN(CC)CCOc1ccc(NC(=O)c2ccc(OC)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,active,1.48
CHEMBL2375971,COc1ccc(C(=O)Nc2ccc(OCCCN(C)C)cc2)cc1Nc1nccc(-c2cccnc2)n1,active,0.52
CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,active,0.33
CHEMBL2386595,[2H]C([2H])([2H])N1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1,intermediate,682.0
CHEMBL2386595,[2H]C([2H])([2H])N1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1,intermediate,436.0
CHEMBL2386594,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,512.0
CHEMBL2386594,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,inactive,1558.0
CHEMBL2386594,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,inactive,2229.0
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,194.0
