molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL2386594,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,575.6950000000003,3.7521200000000023,4.0,9.0,6.29073003902417
CHEMBL2386594,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,inactive,575.6950000000003,3.7521200000000023,4.0,9.0,5.807432546663454
CHEMBL2386594,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,inactive,575.6950000000003,3.7521200000000023,4.0,9.0,5.651889931519762
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,493.6150000000002,4.590320000000004,2.0,7.0,6.7121982700697735
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,493.6150000000002,4.590320000000004,2.0,7.0,6.168770306132936
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,493.6150000000002,4.590320000000004,2.0,7.0,6.655607726314889
CHEMBL3098614,Cc1ccc(NC(=O)c2ccc(CN3CCN(Cc4ccc(I)cc4)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,695.6089999999998,6.765320000000006,2.0,7.0,6.131061821667089
CHEMBL3098615,Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,inactive,523.6410000000002,3.9528200000000027,3.0,8.0,5.149782758201611
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,493.6150000000002,4.590320000000004,2.0,7.0,6.935542010773082
CHEMBL3098616,Cc1ccc(NC(=O)c2ccc(CN3CCN(CCF)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,inactive,525.6320000000002,4.930020000000004,2.0,7.0,5.860750782428393
CHEMBL1171837,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,active,532.5700000000002,4.456020000000003,1.0,6.0,9.301029995663981
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,intermediate,466.5410000000003,4.354000000000003,2.0,6.0,6.914352711703144
CHEMBL3597702,Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)cc2)cc1-n1cc(-c2cccnc2)cn1,intermediate,496.6150000000002,3.6049200000000026,2.0,7.0,6.756218083906205
CHEMBL3597701,CCN1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(-n4cc(-c5cccnc5)cn4)c3)cc2)CC1,active,480.6160000000002,4.632520000000004,1.0,6.0,7.772884917410875
CHEMBL3597700,Cc1ccc(NC(=O)c2ccc(CN3CCCC3)cc2)cc1-n1cc(-c2cccnc2)cn1,intermediate,437.5470000000001,5.090820000000004,1.0,5.0,6.930331903088404
CHEMBL3597615,Cc1ccc(NC(=O)c2ccc(CN3CCCN(C)CC3)cc2)cc1-n1cc(-c2cccnc2)cn1,active,480.61600000000016,4.632520000000004,1.0,6.0,7.575445023393287
CHEMBL3597614,CCN(CC)Cc1ccc(C(=O)Nc2ccc(C)c(-n3cc(-c4cccnc4)cn3)c2)cc1,intermediate,439.5630000000001,5.336820000000005,1.0,5.0,6.88907375773358
CHEMBL3597613,Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)cc2)cc1-n1cc(-c2cccnc2)cn1,intermediate,434.50300000000016,4.739820000000004,1.0,6.0,6.486782399932061
CHEMBL3597612,Cc1ccc(NC(=O)c2ccc(CN3CCOCC3)cc2)cc1-n1cc(-c2cccnc2)cn1,intermediate,453.5460000000001,4.327220000000003,1.0,6.0,6.749579997691106
CHEMBL3597611,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-n1cc(-c2cccnc2)cn1,active,466.58900000000017,4.242420000000004,1.0,6.0,7.295849483160201
CHEMBL3597610,COc1ccc(C(=O)Nc2ccc(C)c(-n3cc(-c4cccnc4)cn3)c2)cc1,active,384.439,4.503620000000003,1.0,5.0,7.335358024443875
CHEMBL3597609,Cc1ccc(NC(=O)c2ccc(C(F)(F)F)cc2)cc1-n1cc(-c2cccnc2)cn1,active,422.4100000000001,5.513820000000004,1.0,4.0,7.363813104801276
CHEMBL3597608,CCc1ccc(C(=O)Nc2ccc(C)c(-n3cc(-c4cccnc4)cn3)c2)cc1,active,382.46700000000004,5.057420000000004,1.0,4.0,7.387004343967653
CHEMBL3597607,Cc1ccc(NC(=O)c2ccc(F)cc2)cc1-n1cc(-c2cccnc2)cn1,intermediate,372.4030000000001,4.634120000000003,1.0,4.0,6.670602120638957
CHEMBL3597606,Cc1ccc(NC(=O)c2cccc(Cl)c2)cc1-n1cc(-c2cccnc2)cn1,active,388.8580000000001,5.148420000000004,1.0,4.0,7.798602875679548
CHEMBL3597605,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-n1cc(-c2cccnc2)cn1,active,422.4100000000001,5.513820000000004,1.0,4.0,7.847711655616943
CHEMBL3357281,O=C(c1ccc(-c2cc(Nc3cccc(F)c3)ncn2)cc1)N1CCN(C(=O)c2ccccc2F)CC1,active,499.5210000000003,4.763600000000004,1.0,5.0,7.769551078621726
CHEMBL3827178,C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl,active,522.4400000000002,5.699800000000005,2.0,6.0,7.0
CHEMBL4077561,CCc1ccc(C(=O)Nc2cc(CN3CCN(C)CC3)cc(C(F)(F)F)c2)cc1C#Cc1ccc2ccnn2c1,intermediate,545.6090000000002,5.315000000000005,1.0,5.0,6.382999658879101
CHEMBL4095191,CN1CCN(Cc2cc(NC(=O)c3ccc4c(c3)CN(c3cncnc3)CC4)cc(C(F)(F)F)c2)CC1,inactive,510.5640000000002,4.057800000000004,1.0,6.0,5.0
CHEMBL4066114,C[C@H]1CN(c2cncnc2)Cc2cc(C(=O)Nc3cc(CN4CCN(C)CC4)cc(C(F)(F)F)c3)ccc21,inactive,524.5910000000002,4.618800000000004,1.0,6.0,5.0
CHEMBL4087485,CC1CN(c2cncnc2)Cc2cc(C(=O)Nc3cc(CN4CCN(C)CC4)cc(C(F)(F)F)c3)ccc21,inactive,524.5910000000002,4.618800000000004,1.0,6.0,5.6777807052660805
